year,mintemp,avrtemp,maxtemp
2021,8.7,13.5,19
2020,8.4,13.2,18.7
2019,8.6,13.5,19.1
2018,8.2,13,18.6
2017,8.1,13.1,18.7
2016,9,13.6,18.9
2015,8.7,13.4,18.8
2014,8.4,13.1,18.6
2013,8.1,12.9,18.4
2012,7.8,12.3,17.6
2011,7.8,12.4,17.7
2010,8.1,12.7,17.9
2009,8.2,13,18.6
2008,8.2,12.9,18.5
2007,8.7,13.2,18.7
2006,8.3,12.9,18.3
2005,7.6,12.3,17.9
2004,8.2,13.2,19
2003,8,12.5,17.7
2002,7.8,12.6,18.1
2001,7.8,12.7,18.4
2000,7.6,12.5,18.1
1999,8,12.8,18.3
1998,8.9,13.5,18.9
1997,7.6,12.7,18.7
1996,7.1,12.1,17.9
1995,6.9,12,18
1994,8,13.2,19.1
1993,7,11.8,17.3
1992,7.6,12.4,18.1
1991,7.4,12.2,17.9
1990,8.6,13.1,18.4
1989,8,12.8,18.4
1988,7.1,12.1,17.9
1987,7.5,12.2,17.9
1986,6.8,11.5,17.1
1985,7.6,12.1,17.4
1984,6.9,11.8,17.5
1983,7.6,12.3,17.9
1982,7.3,12.4,18.3
1981,6.4,11.4,17.1
1980,6.4,11.2,16.7
1979,7.7,12.6,18.3
1978,7.8,12.8,18.5
1977,7.4,12.3,18
1976,6.8,11.7,17.1
1975,8.1,12.6,17.8
1974,6.5,11.4,16.9
1973,7.6,12.4,17.8
